no,ranking,bookname,authors,publisher,publication_year,isbn13,class_nm,loan_count,page_price
79,79,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,9788970129822,문학 > 영미문학 > 소설,136,"14,500원"
80,79,언스크립티드 :부의 추월차선 완결판 ,엠제이 드마코 지음 ;안시열 옮김,토트,2018,9791187444213,사회과학 > 경제학 > 경영관리,136,"19,800원"
81,81,인간 실격,다자이 오사무 지음;김춘미 옮김,민음사,2004,9788937461033,문학 > 일본문학 > 소설,134,"9,000원"
82,81,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은,민음사,2021,9788937473319,문학 > 한국문학 > 소설,134,"14,000원"
83,83,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,9788986836240,문학 > 영미문학 > 소설,132,"12,000원"
84,84,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애,민음사,2000,9788937460449,문학 > 독일문학 > 소설,131,"8,000원"
85,85,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,9788956604992,문학 > 한국문학 > 소설,130,"14,500원"
86,86,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,2013,9788954622035,문학 > 한국문학 > 소설,129,"10,000원"
87,86,노랜드 :천선란 소설집 ,지은이: 천선란,한겨레엔,2022,9791160404944,문학 > 한국문학 > 소설,129,"15,800원"
88,88,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법 ,엠제이 드마코 지음 ;신소영 옮김,북새통,2013,9788994702346,사회과학 > 경제학 > 금융,128,"15,000원"
89,88,우울할 땐 뇌과학 ,앨릭스 코브 지음 ;정지인 옮김,푸른숲,2018,9791156757344,기술과학 > 의학 > 내과학,128,"17,000원"
90,88,아라의 소설 :정세랑 미니픽션 ,지은이: 정세랑,안온(안온북스),2022,9791197873065,문학 > 한국문학 > 소설,128,"15,000원"
91,91,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란,아작,2020,9791165508340,문학 > 한국문학 > 소설,127,"14,800원"
92,91,기분을 관리하면 인생이 관리된다 :김다슬 에세이 ,지은이: 김다슬,클라우디아,2022,9791196617127,문학 > 한국문학 > 르포르타주 및 기타,127,"17,600원"
93,93,가재가 노래하는 곳 :델리아 오언스 장편소설 ,지은이: 델리아 오언스 ;옮긴이: 김선형,살림출판사,2019,9788952240569,문학 > 영미문학 > 소설,126,"16,000원"
94,93,행성어 서점 :김초엽 짧은 소설 ,지은이: 김초엽 ;그린이: 최인호,마음산책,2021,9788960907003,문학 > 한국문학 > 소설,126,"14,500원"
95,95,거울 속 외딴 성 ,츠지무라 미즈키 지음 ;서혜영 옮김,RHK(알에이치코리아),2018,9788925564487,문학 > 일본문학 > 소설,125,"16,500원"
96,95,여름의 빌라 :백수린 소설 ,지은이: 백수린,문학동네,2020,9788954673105,문학 > 한국문학 > 소설,125,"14,800원"
97,95,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우,다산북스,2015,9791130605210,문학 > 독일문학 > 기타 게르만 문학,125,"16,800원"
98,98,애쓰지 않아도 :최은영 짧은 소설 ,지은이: 최은영 ;그린이: 김세희,마음산책,2022,9788960907348,문학 > 한국문학 > 소설,124,"14,500원"
99,99,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,문학 > 한국문학 > 소설,123,"14,000원"
100,100,기분이 태도가 되지 않게 :기분 따라 행동하다 손해 보는 당신을 위한 심리 수업 ,레몬심리 지음 ;박영란 옮김,웅진씽크빅,2020,9788901243658,철학 > 심리학 > 각론,121,"14,000원"
